Time,Category,Side,Event,Score
2022/12/05 18:51:46,Admin,Both,Prepare,0
2022/12/05 18:55:07,Score,Black,Carrier Staying on the Ramp,10
2022/12/05 18:55:10,Score,Black,Deploy a Soldier,5
