Time,Category,Side,Event,Score
2022/12/16 20:38:26,Admin,Both,Prepare,12
2022/12/16 20:38:30,Admin,Black,Ready,0
2022/12/16 20:38:41,Admin,White,Ready,0
2022/12/16 20:38:56,Admin,Both,Game,0
2022/12/16 20:38:58,Admin,Both,Start,0
2022/12/16 20:39:03,Score,Black,Carrier Not Staying on the Ramp,-20
2022/12/16 20:39:12,Score,Black,Deploy a Soldier,5
2022/12/16 20:39:13,Score,White,Deploy a General,10
2022/12/16 20:39:13,Site,Black,2,1
2022/12/16 20:39:13,Site,White,4,3
2022/12/16 20:39:18,Score,Black,Deploy a Soldier,5
2022/12/16 20:39:18,Score,White,Deliberate striking or blocking the opponent,-20
2022/12/16 20:39:19,Site,Black,2,1
2022/12/16 20:39:23,Score-Manual,Black,RECALL Carrier Not Staying on the Ramp,20
2022/12/16 20:39:28,Score,Black,Carrier Going into the Restricted Area,-30
2022/12/16 20:39:39,Score,Black,Carrier Going into the Restricted Area,-30
2022/12/16 20:39:42,Score,Black,Deploy a Soldier,5
2022/12/16 20:39:43,Site,Black,2,1
2022/12/16 20:39:44,Score,White,Deploy a Soldier,5
2022/12/16 20:39:44,Site,White,4,1
2022/12/16 20:39:45,Score,Black,Deploy a Soldier,5
2022/12/16 20:39:46,Site,Black,2,1
2022/12/16 20:39:48,Score,Black,Deploy a Soldier,5
2022/12/16 20:39:48,Site,Black,2,1
2022/12/16 20:39:50,Score,Black,Deploy a Soldier,5
2022/12/16 20:39:51,Site,Black,2,1
2022/12/16 20:39:52,Score,Black,Carrier Going into the Restricted Area,-30
2022/12/16 20:39:58,Score,Black,Deploy a Soldier,5
2022/12/16 20:39:58,Site,Black,4,1
2022/12/16 20:39:59,Score,White,Deliberate striking or blocking the opponent,-20
2022/12/16 20:40:09,Score,Black,Deploy a General,10
2022/12/16 20:40:09,Site,Black,2,3
2022/12/16 20:40:14,Score,Black,Deploy a Soldier,5
2022/12/16 20:40:15,Site,Black,4,1
2022/12/16 20:40:22,Score,Black,Deploy a Soldier,5
2022/12/16 20:40:23,Score,White,Deploy a Soldier,5
2022/12/16 20:40:23,Site,Black,2,1
2022/12/16 20:40:23,Site,White,4,1
2022/12/16 20:40:25,Score,Black,Deploy a Soldier,5
2022/12/16 20:40:26,Site,Black,2,1
2022/12/16 20:40:27,Score,Black,Carrier Going into the Restricted Area,-30
2022/12/16 20:40:29,Score,Black,Carrier Going into the Restricted Area,-30
2022/12/16 20:40:31,Score,Black,Carrier Going into the Restricted Area,-30
2022/12/16 20:40:33,Score,White,Deliberate striking or blocking the opponent,-20
2022/12/16 20:40:43,Score,White,Deploy a Soldier,5
2022/12/16 20:40:44,Site,White,4,1
