Time,Category,Side,Event,Score
2022/12/16 20:14:51,Admin,Both,Prepare,12
2022/12/16 20:15:50,Admin,White,Ready,0
2022/12/16 20:15:52,Admin,Both,Game,0
2022/12/16 20:15:59,Admin,Both,Start,0
2022/12/16 20:16:01,Admin,Black,Ready,0
2022/12/16 20:16:07,Score,White,Deploy a Soldier,5
2022/12/16 20:16:07,Site,White,2,1
2022/12/16 20:16:10,Score,White,Deploy a Soldier,5
2022/12/16 20:16:10,Site,White,2,1
2022/12/16 20:16:11,Score,Black,Deploy a Soldier,5
2022/12/16 20:16:11,Site,Black,2,1
2022/12/16 20:16:15,Score,Black,Deploy a Soldier,5
2022/12/16 20:16:16,Site,Black,2,1
2022/12/16 20:16:18,Score,White,Deploy a Soldier,5
2022/12/16 20:16:18,Score,Black,Deploy a Soldier,5
2022/12/16 20:16:18,Site,White,2,1
2022/12/16 20:16:19,Site,Black,2,1
2022/12/16 20:16:21,Score,Black,Deploy a Soldier,5
2022/12/16 20:16:22,Site,Black,2,1
2022/12/16 20:16:25,Score,Black,Deploy a Soldier,5
2022/12/16 20:16:26,Site,Black,4,1
2022/12/16 20:16:29,Score,White,Deploy a Soldier,5
2022/12/16 20:16:29,Site,White,2,1
2022/12/16 20:16:32,Score,Black,Deploy a Soldier,5
2022/12/16 20:16:32,Score,White,Carrier Going into the Restricted Area,-30
2022/12/16 20:16:33,Site,Black,1,1
2022/12/16 20:16:38,Score,White,Deploy a Soldier,5
2022/12/16 20:16:39,Site,White,2,1
2022/12/16 20:16:47,Score,Black,Deploy a Soldier,5
2022/12/16 20:16:48,Site,Black,2,1
2022/12/16 20:16:53,Score,White,Deploy a Soldier,5
2022/12/16 20:16:53,Site,White,4,1
2022/12/16 20:16:57,Score,Black,Deploy a Soldier,5
2022/12/16 20:16:57,Site,Black,4,1
2022/12/16 20:17:00,Score,White,Deploy a Soldier,5
2022/12/16 20:17:01,Site,White,2,1
2022/12/16 20:17:03,Score,Black,Carrier Going into the Restricted Area,-30
