Time,Category,Side,Event,Score
2022/12/16 19:53:54,Admin,Both,Prepare,12
2022/12/16 19:53:56,Admin,Both,Game,0
2022/12/16 19:53:59,Admin,Both,Start,0
2022/12/16 19:53:59,Admin,White,Ready,0
2022/12/16 19:54:08,Score,White,Carrier Staying on the Ramp,10
2022/12/16 19:54:14,Score-Manual,White,RECALL Carrier Staying on the Ramp,-10
2022/12/16 19:54:24,Score,White,Carrier Staying on the Ramp,10
2022/12/16 19:54:31,Score,Black,Carrier Staying on the Ramp,10
2022/12/16 19:54:35,Score,White,Deploy a Soldier,5
2022/12/16 19:54:36,Site,White,1,1
2022/12/16 19:54:41,Score,White,Deploy a General,10
2022/12/16 19:54:42,Site,White,0,3
2022/12/16 19:54:50,Score,White,Recall a Soldier,-5
2022/12/16 19:54:50,Site,White,1,-1
2022/12/16 19:54:51,Score,Black,Recall a Soldier,-5
2022/12/16 19:54:51,Site,Black,1,-1
2022/12/16 19:55:20,Score,Black,Deploy a Soldier,5
2022/12/16 19:55:21,Site,Black,3,1
2022/12/16 19:56:05,Score,White,Engineer Taking out a Bomb,-30
