Time,Category,Side,Event,Score
2022/12/16 19:49:30,Score,White,Carrier Going Out of the Field,-30
2022/12/16 19:49:40,Score,Black,Deploy a Soldier,5
2022/12/16 19:49:41,Site,Black,1,1
2022/12/16 19:50:03,Score,White,Occupy One Site,80
2022/12/16 19:50:09,Score,Black,Deploy a Soldier,5
2022/12/16 19:50:09,Score,White,Occupying Site 0 for 1 minute,20
2022/12/16 19:50:09,Site,Black,2,1
2022/12/16 19:50:13,Score,White,Occupying Site 0 for 1 minute,20
2022/12/16 19:50:16,Score,White,Carrier Staying on the Ramp,10
2022/12/16 19:50:25,Admin,Black,Ready,0
2022/12/16 19:50:29,Score,Black,Carrier Not Staying on the Ramp,-20
2022/12/16 19:50:30,Score-Manual,Black,RECALL Deploy a Soldier,-5
2022/12/16 19:50:34,Score,White,Carrier Going Out of the Field,-30
2022/12/16 19:51:00,Score,Black,Carrier Staying on the Ramp,10
2022/12/16 19:51:24,Score-Manual,Black,RECALL Carrier Not Staying on the Ramp,20
2022/12/16 19:51:35,Admin,Both,Game,0
2022/12/16 19:51:39,Score,White,Deploy a Soldier,5
2022/12/16 19:51:39,Site,White,0,1
2022/12/16 19:51:41,Admin,Both,Start,0
2022/12/16 19:51:43,Admin,Both,Settle,0
