Time,Category,Side,Event,Score
2022/12/16 19:51:52,Admin,Both,Prepare,12
2022/12/16 19:51:58,Score-Manual,White,RECALL Deploy a Soldier,-5
2022/12/16 19:52:07,Admin,Black,Ready,0
2022/12/16 19:52:10,Score,White,Technical Pause for 1 min,-10
2022/12/16 19:52:14,Admin,Both,Start,0
2022/12/16 19:52:15,Score,Black,Carrier Staying on the Ramp,10
2022/12/16 19:52:16,Score-Manual,White,RECALL RECALL Deploy a Soldier,5
2022/12/16 19:52:24,Score,White,Carrier Staying on the Ramp,10
2022/12/16 19:52:26,Score,White,Occupying Site 0 for 1 minute,20
2022/12/16 19:52:30,Score,Black,Deploy a Soldier,5
2022/12/16 19:52:30,Site,Black,2,1
2022/12/16 19:52:32,Score,White,Deploy a General,10
2022/12/16 19:52:32,Site,White,0,3
2022/12/16 19:52:36,Score,Black,Engineer Taking out a Bomb,-30
2022/12/16 19:52:36,Score,White,Recall a General,-10
2022/12/16 19:52:37,Site,White,0,-3
2022/12/16 19:52:51,Admin,Both,Start,0
2022/12/16 19:52:57,Admin,Both,Settle,0
2022/12/16 19:52:59,Admin,Both,Game,0
