Time,Category,Side,Event,Score
2022/12/16 19:58:07,Admin,Both,Prepare,12
2022/12/16 19:58:10,Admin,Both,Game,0
2022/12/16 19:58:12,Admin,Both,Game,0
2022/12/16 19:58:17,Admin,Both,Start,0
2022/12/16 19:58:18,Admin,Both,Settle,0
2022/12/16 19:58:21,Admin,Both,Settle,0
2022/12/16 19:58:46,Admin,Both,Game,0
2022/12/16 19:58:48,Admin,Both,Start,0
2022/12/16 19:58:51,Admin,Both,Game,0
2022/12/16 19:58:55,Admin,Both,Start,0
2022/12/16 19:58:57,Admin,Both,Settle,0
2022/12/16 19:59:02,Admin,Both,Game,0
2022/12/16 19:59:04,Admin,Both,Start,0
